idea,status
To-Do List,pending
Sticky Notes App,pending
Pomodoro Timer,pending
Daily Planner,pending
Habit Tracker,pending
Goal Tracker,pending
Calendar App,pending
Reminder App,pending
Countdown Timer,pending
Focus Mode App,pending
Expense Tracker,pending
Budget Calculator,pending
EMI Calculator,pending
GST Calculator,pending
Tip Calculator,pending
Currency Converter,pending
Savings Tracker,pending
Loan Calculator,pending
Split Bill Calculator,pending
Salary Tax Calculator,pending
QR Code Generator,pending
QR Code Scanner,pending
Password Generator,pending
Password Strength Checker,pending
File Renamer,pending
Unit Converter,pending
Stopwatch,pending
Alarm Clock,pending
Age Calculator,pending
BMI Calculator,pending
GPA Calculator,pending
Attendance Calculator,pending
Flashcard App,pending
Quiz App,pending
MCQ Generator,pending
Study Timer,pending
Timetable Generator,pending
Notes Manager,pending
Assignment Tracker,pending
Exam Countdown,pending
Markdown Editor,pending
Word Counter,pending
Character Counter,pending
Text Formatter,pending
Case Converter,pending
Duplicate Line Remover,pending
Text Diff Checker,pending
Random Quote Generator,pending
Lorem Ipsum Generator,pending
URL Encoder/Decoder,pending
Weather App,pending
Country Information App,pending
Random Joke Generator,pending
Random Meme Viewer,pending
Dictionary App,pending
Currency Exchange Viewer,pending
News Reader,pending
Recipe Finder,pending
Movie Search,pending
Pokemon Explorer,pending
Tic-Tac-Toe,pending
Rock Paper Scissors,pending
Hangman,pending
Snake,pending
Memory Matching Game,pending
Simon Says,pending
Number Guessing Game,pending
Dice Roller,pending
Coin Flip Simulator,pending
Sudoku Solver,pending
COVID Statistics Dashboard,pending
GitHub Profile Viewer,pending
GitHub Repo Finder,pending
Crypto Price Tracker,pending
Stock Price Viewer,pending
IPL Points Table Viewer,pending
Cricket Live Score Viewer,pending
Weather Dashboard,pending
Book Search Dashboard,pending
Music Search App,pending
AI Email Writer,pending
AI Blog Title Generator,pending
AI Caption Generator,pending
AI Recipe Generator,pending
AI Story Generator,pending
AI Code Explainer,pending
AI Grammar Checker,pending
AI Flashcard Generator,pending
AI Interview Question Generator,pending
AI Resume Bullet Generator,pending
Color Palette Generator,pending
Gradient Generator,pending
Random Avatar Generator,pending
ASCII Art Generator,pending
Meme Caption Generator,pending
Emoji Picker,pending
Drawing Pad,pending
Typing Speed Test,pending
Random Name Generator,pending
Digital Business Card Generator,pending